,Portfolio,Weeks_until_Rebalance,Biweekly_Contribution,Worst_Year,Best_Year,Estimated_Annual_Return,Typical_Returns
762,"'VIGRX', 'IEF', 'VUSTX', 'USERX', 'GSG'",4.0,100.0,-11.3,18.61,9.1,-4.63 to 12.45
1477,"'PREIX', 'IEF', 'WHOSX', 'USERX', 'GSP'",46.0,250.0,-10.17,16.98,9.1,-5.48 to 11.73
1464,"'VIGRX', 'IGIB', 'WHOSX', 'USERX', 'DJP'",39.0,400.0,-12.28,19.03,9.1,-4.63 to 12.51
1364,"'VIGRX', 'IEF', 'WHOSX', 'USERX', 'DJP'",23.0,400.0,-10.56,17.22,9.1,-5.87 to 12.18
1562,"'VIGRX', 'IEF', 'WHOSX', 'USERX', 'GSP'",46.0,400.0,-10.29,18.0,9.1,-5.87 to 12.46
3576,"'PREIX', 'IEI', 'WHOSX', 'SGGDX', 'DBC'",40.0,450.0,-9.04,15.48,9.1,-5.06 to 11.5
1595,"'FUSEX', 'IEI', 'PRULX', 'INIVX', 'DBC'",39.0,650.0,-10.48,17.2,9.1,-5.36 to 12.42
990,"'VIGRX', 'IEI', 'VUSTX', 'SGGDX', 'DBC'",40.0,650.0,-9.78,18.02,9.1,-4.4 to 12.91
2657,"'VIGRX', 'IEI', 'WHOSX', 'USERX', 'GSP'",26.0,650.0,-9.71,17.32,9.1,-4.76 to 11.84
3796,"'VIGRX', 'IEF', 'VUSTX', 'VGPMX', 'DBC'",47.0,750.0,-10.88,18.69,9.1,-4.79 to 13.68
4233,"'VIGRX', 'IEI', 'WHOSX', 'SGGDX', 'GSG'",1.0,850.0,-10.11,17.09,9.1,-4.6 to 11.73
965,"'FUSEX', 'TIP', 'WHOSX', 'INIVX', 'DBC'",36.0,900.0,-13.23,19.52,9.1,-6.67 to 13.56
1438,"'VIGRX', 'IEF', 'PRULX', 'VGPMX', 'DBC'",48.0,100.0,-11.19,18.85,9.09,-4.93 to 13.35
859,"'VIGRX', 'IEI', 'PRULX', 'OPGSX', 'DBC'",9.0,100.0,-10.11,18.3,9.09,-5.3 to 12.83
2864,"'SWPPX', 'IEI', 'WHOSX', 'INIVX', 'DBC'",37.0,200.0,-10.3,17.09,9.09,-5.44 to 12.46
3386,"'SWPPX', 'IEF', 'VUSTX', 'VGPMX', 'GSP'",28.0,350.0,-12.13,18.09,9.09,-6.1 to 13.05
4862,"'VIGRX', 'IPE', 'PRULX', 'INIVX', 'GSG'",14.0,450.0,-14.75,21.36,9.09,-6.44 to 14.31
1695,"'VIGRX', 'IPE', 'WHOSX', 'INIVX', 'GSG'",7.0,450.0,-14.09,21.45,9.09,-6.96 to 14.09
1841,"'VFINX', 'IEF', 'PRULX', 'INIVX', 'DJP'",47.0,750.0,-10.61,17.57,9.09,-5.28 to 12.94
3194,"'SWPPX', 'IEF', 'WHOSX', 'USERX', 'GSG'",47.0,800.0,-10.08,16.87,9.09,-4.96 to 12.17
2158,"'VIGRX', 'BIV', 'WHOSX', 'OPGSX', 'GSG'",24.0,850.0,-12.66,19.09,9.09,-7.9 to 13.73
754,"'SWPPX', 'IEF', 'VUSTX', 'SGGDX', 'GSG'",16.0,850.0,-10.97,17.01,9.09,-6.29 to 11.38
3017,"'VIGRX', 'TIP', 'PRULX', 'INIVX', 'DBC'",5.0,100.0,-14.45,20.77,9.08,-6.67 to 14.32
3184,"'VIGRX', 'IEF', 'PRULX', 'USERX', 'DBC'",46.0,100.0,-10.1,18.12,9.08,-5.02 to 12.76
4121,"'VIGRX', 'ITE', 'PRULX', 'OPGSX', 'DJP'",24.0,150.0,-10.47,17.54,9.08,-5.77 to 12.99
4241,"'FUSEX', 'ITE', 'WHOSX', 'INIVX', 'DBC'",28.0,200.0,-10.33,17.15,9.08,-6.12 to 12.61
840,"'VIGRX', 'BIV', 'PRULX', 'INIVX', 'DBC'",4.0,250.0,-12.96,20.42,9.08,-5.98 to 13.78
3437,"'VIGRX', 'IPE', 'WHOSX', 'OPGSX', 'DBC'",32.0,350.0,-13.84,22.38,9.08,-6.93 to 15.05
3810,"'VIGRX', 'BIV', 'VUSTX', 'INIVX', 'DJP'",47.0,350.0,-12.47,19.43,9.08,-5.51 to 14.35
3956,"'SWPPX', 'IEI', 'WHOSX', 'OPGSX', 'GSP'",24.0,350.0,-10.37,17.29,9.08,-6.58 to 12.84
4413,"'PREIX', 'IEF', 'PRULX', 'OPGSX', 'GSG'",37.0,550.0,-11.65,18.06,9.08,-5.67 to 12.69
130,"'VIGRX', 'IPE', 'VUSTX', 'INIVX', 'DBC'",47.0,600.0,-14.08,21.65,9.08,-6.11 to 15.55
966,"'VFINX', 'IEF', 'VUSTX', 'OPGSX', 'DJP'",40.0,650.0,-11.41,18.27,9.08,-5.3 to 13.79
825,"'VIGRX', 'IEI', 'PRULX', 'OPGSX', 'DBC'",8.0,700.0,-10.35,17.92,9.08,-5.8 to 12.86
4483,"'VIGRX', 'IEI', 'PRULX', 'VGPMX', 'GSP'",47.0,750.0,-11.63,18.87,9.08,-5.34 to 13.9
3519,"'VIGRX', 'IEI', 'VUSTX', 'USERX', 'DBC'",30.0,800.0,-10.34,18.22,9.08,-4.42 to 13.62
4619,"'VIGRX', 'IEI', 'WHOSX', 'SGGDX', 'DBC'",18.0,800.0,-8.66,17.14,9.08,-5.32 to 11.8
1439,"'VIGRX', 'IPE', 'VUSTX', 'SGGDX', 'DBC'",34.0,850.0,-13.73,21.09,9.08,-6.0 to 14.54
2219,"'VIGRX', 'TIP', 'PRULX', 'OPGSX', 'GSP'",45.0,1000.0,-14.27,22.37,9.08,-6.01 to 14.26
3965,"'FUSEX', 'ITE', 'VUSTX', 'INIVX', 'GSP'",45.0,1000.0,-11.63,18.33,9.08,-5.96 to 13.99
3455,"'VFINX', 'IEF', 'WHOSX', 'SGGDX', 'DBC'",45.0,100.0,-9.56,17.72,9.07,-5.53 to 12.5
810,"'VIGRX', 'IPE', 'WHOSX', 'OPGSX', 'DBC'",41.0,250.0,-14.07,21.62,9.07,-6.72 to 14.66
2289,"'VIGRX', 'IEI', 'WHOSX', 'INIVX', 'GSP'",7.0,250.0,-11.2,18.26,9.07,-5.7 to 12.48
2985,"'PREIX', 'IEF', 'WHOSX', 'USERX', 'GSP'",22.0,300.0,-10.95,16.36,9.07,-5.46 to 11.31
4902,"'VFINX', 'IEF', 'PRULX', 'SGGDX', 'DBC'",46.0,300.0,-9.88,16.88,9.07,-5.34 to 11.68
1338,"'VIGRX', 'ITE', 'WHOSX', 'OPGSX', 'GSP'",42.0,350.0,-11.55,18.51,9.07,-7.47 to 13.29
2413,"'VIGRX', 'TIP', 'VUSTX', 'INIVX', 'DBC'",52.0,500.0,-13.83,20.3,9.07,-5.81 to 14.21
3470,"'VIGRX', 'IEI', 'VUSTX', 'OPGSX', 'DJP'",13.0,500.0,-11.34,18.34,9.07,-5.13 to 13.53
2868,"'VIGRX', 'IEF', 'VUSTX', 'VGPMX', 'DBC'",31.0,600.0,-11.9,19.25,9.07,-4.74 to 13.51
3989,"'VIGRX', 'IEI', 'VUSTX', 'USERX', 'GSG'",5.0,600.0,-11.61,17.95,9.07,-3.66 to 12.28
3145,"'VFINX', 'IPE', 'WHOSX', 'OPGSX', 'DBC'",49.0,800.0,-13.97,20.59,9.07,-7.06 to 15.1
2486,"'VIGRX', 'IEI', 'WHOSX', 'USERX', 'GSP'",39.0,850.0,-10.34,17.44,9.07,-4.42 to 11.98
3378,"'VIGRX', 'IEF', 'WHOSX', 'OPGSX', 'DBC'",22.0,100.0,-11.01,18.71,9.06,-6.4 to 13.22
4301,"'VIGRX', 'IEI', 'PRULX', 'SGGDX', 'DJP'",41.0,100.0,-9.9,16.6,9.06,-3.97 to 11.95
3871,"'VIGRX', 'IEI', 'PRULX', 'INIVX', 'GSP'",16.0,350.0,-11.49,18.44,9.06,-5.31 to 12.76
1365,"'VIGRX', 'IPE', 'PRULX', 'USERX', 'DBC'",23.0,400.0,-14.2,21.05,9.06,-5.82 to 14.08
3914,"'VIGRX', 'IEF', 'WHOSX', 'VGPMX', 'DBC'",2.0,400.0,-12.07,18.8,9.06,-4.94 to 12.82
61,"'SWPPX', 'IEI', 'WHOSX', 'INIVX', 'DJP'",47.0,400.0,-10.08,17.08,9.06,-5.76 to 12.78
4871,"'VIGRX', 'BIV', 'WHOSX', 'SGGDX', 'GSP'",39.0,450.0,-12.21,19.14,9.06,-6.13 to 12.77
4534,"'PREIX', 'IEF', 'PRULX', 'OPGSX', 'DBC'",18.0,450.0,-10.41,17.83,9.06,-5.71 to 13.09
1603,"'VIGRX', 'IEI', 'PRULX', 'SGGDX', 'DBC'",3.0,450.0,-10.01,17.64,9.06,-4.24 to 12.33
2743,"'FUSEX', 'IEI', 'WHOSX', 'OPGSX', 'DBC'",30.0,550.0,-10.98,17.97,9.06,-6.03 to 13.83
4190,"'VIGRX', 'IEF', 'PRULX', 'SGGDX', 'GSG'",35.0,600.0,-11.04,15.3,9.06,-4.43 to 11.04
4080,"'VIGRX', 'IPE', 'PRULX', 'SGGDX', 'DBC'",2.0,650.0,-13.62,20.46,9.06,-6.43 to 13.9
3647,"'VIGRX', 'IGIB', 'VUSTX', 'OPGSX', 'DJP'",52.0,700.0,-13.78,20.21,9.06,-5.17 to 13.98
2576,"'VIGRX', 'TIP', 'PRULX', 'INIVX', 'DJP'",6.0,800.0,-14.28,21.36,9.06,-6.34 to 14.1
4003,"'SWPPX', 'TIP', 'WHOSX', 'SGGDX', 'DBC'",15.0,850.0,-13.22,19.42,9.06,-6.48 to 12.56
1280,"'VFINX', 'IEI', 'PRULX', 'OPGSX', 'DBC'",9.0,850.0,-10.43,17.3,9.06,-4.68 to 12.77
2433,"'VIGRX', 'IEF', 'VUSTX', 'VGPMX', 'DBC'",29.0,900.0,-11.46,19.26,9.06,-4.96 to 13.6
3292,"'VIGRX', 'BIV', 'WHOSX', 'OPGSX', 'GSP'",14.0,1000.0,-13.69,20.65,9.06,-6.66 to 13.68
3528,"'VIGRX', 'BIV', 'PRULX', 'USERX', 'GSG'",16.0,1000.0,-13.32,19.45,9.06,-5.62 to 13.2
742,"'VIGRX', 'ITE', 'WHOSX', 'INIVX', 'GSG'",11.0,200.0,-10.82,17.83,9.05,-5.03 to 11.91
4511,"'VIGRX', 'IEF', 'PRULX', 'VGPMX', 'GSG'",25.0,300.0,-12.01,18.98,9.05,-4.9 to 13.3
303,"'VIGRX', 'IEF', 'WHOSX', 'VGPMX', 'GSP'",2.0,350.0,-13.11,19.28,9.05,-5.47 to 12.87
2482,"'VIGRX', 'IPE', 'WHOSX', 'OPGSX', 'DJP'",48.0,400.0,-13.79,21.51,9.05,-7.17 to 15.01
2118,"'VIGRX', 'IPE', 'PRULX', 'INIVX', 'GSG'",18.0,400.0,-13.2,20.68,9.05,-6.09 to 13.5
4443,"'VFINX', 'IEF', 'VUSTX', 'SGGDX', 'GSG'",13.0,400.0,-10.77,17.01,9.05,-5.72 to 11.25
1014,"'VIGRX', 'IEF', 'WHOSX', 'USERX', 'DBC'",52.0,400.0,-9.59,14.81,9.05,-5.71 to 11.34
1812,"'VIGRX', 'IPE', 'WHOSX', 'SGGDX', 'GSG'",31.0,500.0,-13.09,20.41,9.05,-6.1 to 13.89
1543,"'VIGRX', 'IGIB', 'WHOSX', 'USERX', 'GSP'",25.0,500.0,-12.45,20.05,9.05,-4.67 to 14.08
4183,"'VIGRX', 'ITE', 'WHOSX', 'USERX', 'DBC'",4.0,500.0,-10.39,17.36,9.05,-5.03 to 12.33
4481,"'VIGRX', 'IEF', 'PRULX', 'USERX', 'DJP'",6.0,550.0,-10.57,17.97,9.05,-5.21 to 12.56
3955,"'FUSEX', 'IEF', 'WHOSX', 'USERX', 'DBC'",8.0,700.0,-10.41,17.31,9.05,-6.07 to 11.35
3745,"'SWPPX', 'IEF', 'WHOSX', 'SGGDX', 'DJP'",20.0,700.0,-9.95,16.39,9.05,-6.14 to 11.31
1081,"'VIGRX', 'TIP', 'VUSTX', 'INIVX', 'DBC'",41.0,800.0,-14.55,21.43,9.05,-5.99 to 15.02
3376,"'VIGRX', 'BIV', 'PRULX', 'INIVX', 'DBC'",26.0,800.0,-12.86,19.82,9.05,-6.4 to 13.43
293,"'VFINX', 'IEI', 'WHOSX', 'INIVX', 'DBC'",25.0,1000.0,-9.29,17.16,9.05,-5.28 to 12.51
3095,"'PREIX', 'IEF', 'VUSTX', 'SGGDX', 'GSP'",45.0,100.0,-10.56,17.94,9.04,-6.14 to 12.63
2987,"'VIGRX', 'IGIB', 'WHOSX', 'OPGSX', 'GSP'",1.0,150.0,-14.2,21.33,9.04,-5.43 to 13.82
3309,"'FUSEX', 'IEF', 'VUSTX', 'OPGSX', 'DBC'",36.0,300.0,-10.31,16.87,9.04,-6.16 to 13.25
126,"'VIGRX', 'IGIB', 'WHOSX', 'USERX', 'GSP'",24.0,350.0,-12.81,19.44,9.04,-4.82 to 13.72
4323,"'SWPPX', 'IEI', 'PRULX', 'OPGSX', 'DBC'",32.0,350.0,-11.17,16.95,9.04,-5.32 to 13.44
3739,"'VIGRX', 'IEI', 'PRULX', 'VGPMX', 'GSP'",48.0,400.0,-11.62,18.67,9.04,-5.21 to 13.6
4790,"'VIGRX', 'IEI', 'PRULX', 'SGGDX', 'DJP'",11.0,400.0,-9.87,17.14,9.04,-4.48 to 11.81
3486,"'SWPPX', 'TIP', 'WHOSX', 'INIVX', 'DBC'",43.0,450.0,-13.79,20.72,9.04,-7.09 to 14.57
2783,"'VIGRX', 'IGIB', 'WHOSX', 'SGGDX', 'GSP'",22.0,450.0,-11.91,19.67,9.04,-5.22 to 12.48
1938,"'VIGRX', 'ITE', 'WHOSX', 'USERX', 'GSP'",3.0,600.0,-11.39,17.81,9.04,-4.47 to 11.98
1966,"'PREIX', 'IEI', 'WHOSX', 'INIVX', 'GSG'",24.0,600.0,-9.96,16.85,9.04,-6.27 to 11.76
4999,"'VIGRX', 'IPE', 'PRULX', 'SGGDX', 'DJP'",25.0,650.0,-13.45,19.88,9.04,-6.69 to 13.78
2387,"'VIGRX', 'IEI', 'PRULX', 'SGGDX', 'DJP'",27.0,650.0,-9.31,17.0,9.04,-4.59 to 12.31
3138,"'VIGRX', 'IPE', 'WHOSX', 'SGGDX', 'DJP'",37.0,700.0,-12.26,20.32,9.04,-6.75 to 13.63
3679,"'FUSEX', 'IEI', 'PRULX', 'INIVX', 'DBC'",48.0,700.0,-10.77,17.25,9.04,-5.53 to 12.97
2601,"'VIGRX', 'IEF', 'PRULX', 'SGGDX', 'GSG'",42.0,700.0,-10.51,17.83,9.04,-5.64 to 12.32
2812,"'VIGRX', 'IEF', 'WHOSX', 'OPGSX', 'DBC'",27.0,750.0,-9.82,18.93,9.04,-6.61 to 13.29
1971,"'SWPPX', 'IEI', 'WHOSX', 'VGPMX', 'DBC'",13.0,850.0,-11.6,17.49,9.04,-5.76 to 12.51
3583,"'VFINX', 'IEF', 'VUSTX', 'INIVX', 'DJP'",30.0,850.0,-11.55,17.95,9.04,-6.13 to 13.91
809,"'VIGRX', 'IEF', 'PRULX', 'INIVX', 'DBC'",11.0,850.0,-10.84,18.93,9.04,-6.46 to 12.72
4139,"'VIGRX', 'IEF', 'WHOSX', 'USERX', 'GSP'",21.0,950.0,-10.53,18.41,9.04,-5.7 to 12.61
542,"'VIGRX', 'IGIB', 'PRULX', 'USERX', 'DBC'",3.0,1000.0,-13.39,20.25,9.04,-4.66 to 13.5
3868,"'VIGRX', 'ITE', 'WHOSX', 'INIVX', 'DBC'",11.0,150.0,-10.18,17.83,9.03,-6.86 to 12.14
2909,"'VIGRX', 'IGIB', 'VUSTX', 'SGGDX', 'GSG'",43.0,250.0,-13.04,19.81,9.03,-5.03 to 13.63
3102,"'FUSEX', 'IEF', 'PRULX', 'SGGDX', 'GSG'",10.0,250.0,-11.25,17.56,9.03,-5.73 to 11.3
339,"'VIGRX', 'ITE', 'VUSTX', 'INIVX', 'DBC'",34.0,300.0,-11.26,17.92,9.03,-4.24 to 13.32
4124,"'VIGRX', 'IEF', 'VUSTX', 'SGGDX', 'DJP'",51.0,300.0,-9.87,14.77,9.03,-5.63 to 11.74
704,"'VIGRX', 'IPE', 'VUSTX', 'SGGDX', 'GSG'",36.0,500.0,-13.79,20.75,9.03,-5.55 to 14.3
4869,"'VIGRX', 'BIV', 'WHOSX', 'USERX', 'DBC'",52.0,500.0,-11.46,18.08,9.03,-6.12 to 12.79
2942,"'VIGRX', 'IEI', 'PRULX', 'SGGDX', 'DJP'",51.0,500.0,-9.58,15.67,9.03,-4.49 to 11.86
667,"'VIGRX', 'IEF', 'VUSTX', 'INIVX', 'DBC'",31.0,600.0,-10.88,18.76,9.03,-5.74 to 13.27
2747,"'VIGRX', 'TIP', 'VUSTX', 'SGGDX', 'GSG'",36.0,700.0,-13.67,19.78,9.03,-5.29 to 13.78
59,"'PREIX', 'IEI', 'VUSTX', 'SGGDX', 'DBC'",52.0,700.0,-9.82,15.02,9.03,-5.31 to 10.66
4327,"'VIGRX', 'ITE', 'VUSTX', 'SGGDX', 'GSG'",30.0,750.0,-10.7,17.26,9.03,-4.7 to 12.37
3021,"'VIGRX', 'ITE', 'VUSTX', 'INIVX', 'DBC'",47.0,750.0,-10.56,18.33,9.03,-4.69 to 13.26
2685,"'SWPPX', 'IEF', 'WHOSX', 'USERX', 'DBC'",43.0,750.0,-10.15,16.32,9.03,-5.65 to 11.75
737,"'VIGRX', 'BIV', 'VUSTX', 'INIVX', 'DBC'",36.0,800.0,-12.26,20.09,9.03,-6.64 to 14.18
4624,"'VIGRX', 'ITE', 'VUSTX', 'VGPMX', 'DBC'",28.0,850.0,-11.59,19.08,9.03,-5.2 to 14.08
2799,"'SWPPX', 'IEF', 'WHOSX', 'USERX', 'GSG'",14.0,850.0,-11.09,16.13,9.03,-5.47 to 11.19
2136,"'VIGRX', 'IPE', 'VUSTX', 'SGGDX', 'DJP'",30.0,950.0,-13.81,21.06,9.03,-6.69 to 14.43
2684,"'VIGRX', 'ITE', 'WHOSX', 'INIVX', 'DBC'",21.0,1000.0,-10.4,18.22,9.03,-6.83 to 12.64
1586,"'SWPPX', 'ITE', 'WHOSX', 'SGGDX', 'DJP'",45.0,1000.0,-9.72,16.19,9.03,-5.05 to 11.57
338,"'VIGRX', 'IGIB', 'WHOSX', 'VGPMX', 'DBC'",26.0,150.0,-12.67,20.46,9.02,-5.54 to 14.27
3304,"'FUSEX', 'IEI', 'WHOSX', 'SGGDX', 'DBC'",49.0,150.0,-9.2,15.64,9.02,-5.34 to 11.27
1761,"'FUSEX', 'IEF', 'VUSTX', 'USERX', 'DBC'",1.0,200.0,-11.16,17.32,9.02,-5.01 to 12.13
4888,"'PREIX', 'IPE', 'PRULX', 'INIVX', 'GSG'",24.0,250.0,-14.23,20.07,9.02,-7.08 to 13.68
1602,"'VFINX', 'IEF', 'WHOSX', 'OPGSX', 'DJP'",9.0,350.0,-10.37,17.59,9.02,-6.07 to 12.86
2822,"'VIGRX', 'ITE', 'WHOSX', 'OPGSX', 'DJP'",36.0,400.0,-9.88,16.73,9.02,-5.84 to 12.28
3781,"'VIGRX', 'IEI', 'PRULX', 'SGGDX', 'GSG'",27.0,700.0,-9.92,17.12,9.02,-4.85 to 12.12
815,"'VFINX', 'ITE', 'PRULX', 'SGGDX', 'DBC'",45.0,700.0,-9.68,16.69,9.02,-4.95 to 11.98
2687,"'VIGRX', 'TIP', 'WHOSX', 'OPGSX', 'GSG'",30.0,750.0,-14.47,21.48,9.02,-7.0 to 14.54
407,"'VIGRX', 'IEF', 'VUSTX', 'INIVX', 'GSP'",1.0,750.0,-11.75,19.59,9.02,-6.06 to 13.14
1419,"'FUSEX', 'IEF', 'PRULX', 'USERX', 'DBC'",19.0,750.0,-10.73,16.28,9.02,-5.11 to 11.49
3367,"'VFINX', 'IEI', 'WHOSX', 'SGGDX', 'DBC'",37.0,750.0,-9.45,16.19,9.02,-4.42 to 10.71
1786,"'VIGRX', 'IGIB', 'VUSTX', 'SGGDX', 'GSP'",28.0,800.0,-12.77,20.07,9.02,-5.28 to 13.95
2680,"'VIGRX', 'IEF', 'VUSTX', 'OPGSX', 'GSP'",33.0,850.0,-12.3,18.98,9.02,-5.76 to 13.48
4939,"'VIGRX', 'TIP', 'PRULX', 'SGGDX', 'DJP'",14.0,900.0,-13.58,19.35,9.02,-6.24 to 13.48
4702,"'VIGRX', 'IPE', 'PRULX', 'INIVX', 'GSP'",25.0,950.0,-14.58,21.9,9.02,-6.68 to 14.66
1852,"'SWPPX', 'IEI', 'WHOSX', 'SGGDX', 'GSG'",23.0,950.0,-10.33,16.36,9.02,-5.22 to 10.96
1336,"'VIGRX', 'ITE', 'PRULX', 'VGPMX', 'DBC'",48.0,100.0,-11.31,18.36,9.01,-4.74 to 13.64
2862,"'VIGRX', 'IEI', 'VUSTX', 'USERX', 'DBC'",33.0,100.0,-10.88,17.71,9.01,-3.69 to 12.32
2462,"'VIGRX', 'IEF', 'WHOSX', 'INIVX', 'DJP'",24.0,100.0,-9.82,17.71,9.01,-6.35 to 12.93
3646,"'SWPPX', 'IEI', 'PRULX', 'SGGDX', 'DBC'",47.0,150.0,-9.2,15.85,9.01,-4.54 to 11.4
515,"'PREIX', 'IPE', 'WHOSX', 'OPGSX', 'DBC'",43.0,200.0,-14.2,21.2,9.01,-7.11 to 15.09
994,"'VIGRX', 'IEF', 'VUSTX', 'OPGSX', 'GSG'",33.0,200.0,-12.14,18.84,9.01,-5.45 to 13.36
2011,"'PREIX', 'IEI', 'PRULX', 'INIVX', 'DBC'",13.0,350.0,-11.08,17.2,9.01,-5.79 to 12.34
3818,"'VFINX', 'IEF', 'WHOSX', 'SGGDX', 'DBC'",18.0,450.0,-9.41,16.89,9.01,-5.69 to 11.48
682,"'PREIX', 'IEI', 'WHOSX', 'INIVX', 'DJP'",43.0,500.0,-10.21,17.21,9.01,-5.96 to 12.91
4950,"'VIGRX', 'IEI', 'PRULX', 'USERX', 'GSP'",20.0,600.0,-10.78,17.39,9.01,-4.08 to 12.18
2887,"'VIGRX', 'IEI', 'WHOSX', 'VGPMX', 'GSP'",13.0,700.0,-11.86,18.67,9.01,-5.65 to 13.41
923,"'VIGRX', 'IEF', 'PRULX', 'INIVX', 'DJP'",35.0,750.0,-11.16,18.44,9.01,-5.28 to 12.69
3139,"'VIGRX', 'IGIB', 'VUSTX', 'OPGSX', 'GSG'",40.0,800.0,-13.82,21.54,9.01,-5.4 to 13.36
1204,"'VIGRX', 'IPE', 'WHOSX', 'SGGDX', 'GSG'",37.0,950.0,-12.98,20.2,9.01,-5.67 to 13.15
710,"'VIGRX', 'BIV', 'WHOSX', 'USERX', 'DBC'",5.0,150.0,-12.54,19.39,9.0,-5.92 to 13.06
178,"'VFINX', 'IGIB', 'WHOSX', 'SGGDX', 'DBC'",28.0,150.0,-11.6,18.72,9.0,-5.34 to 12.25
2507,"'VIGRX', 'IPE', 'VUSTX', 'SGGDX', 'GSP'",22.0,200.0,-14.25,21.05,9.0,-6.22 to 14.49
1228,"'SWPPX', 'IEF', 'PRULX', 'INIVX', 'DBC'",25.0,200.0,-10.81,17.92,9.0,-6.32 to 12.45
2605,"'FUSEX', 'IEI', 'VUSTX', 'OPGSX', 'DBC'",48.0,250.0,-11.19,17.0,9.0,-5.34 to 13.46
3185,"'VFINX', 'IPE', 'WHOSX', 'SGGDX', 'DBC'",24.0,300.0,-12.68,18.58,9.0,-6.53 to 12.9
2779,"'VIGRX', 'TIP', 'PRULX', 'OPGSX', 'GSP'",2.0,400.0,-15.41,22.12,9.0,-6.5 to 14.65
2764,"'VIGRX', 'IGIB', 'WHOSX', 'OPGSX', 'DBC'",31.0,500.0,-13.03,20.43,9.0,-5.06 to 13.02
502,"'VIGRX', 'TIP', 'PRULX', 'VGPMX', 'DBC'",17.0,550.0,-15.73,21.61,9.0,-5.6 to 14.87
2290,"'VIGRX', 'IGIB', 'WHOSX', 'SGGDX', 'DJP'",37.0,550.0,-11.41,19.22,9.0,-4.8 to 13.1
1425,"'VIGRX', 'IEI', 'VUSTX', 'OPGSX', 'DJP'",49.0,550.0,-11.04,18.35,9.0,-5.22 to 14.1
1040,"'VIGRX', 'IEF', 'WHOSX', 'OPGSX', 'DBC'",30.0,550.0,-10.76,19.14,9.0,-6.95 to 14.18
2501,"'FUSEX', 'IEF', 'VUSTX', 'VGPMX', 'DBC'",28.0,750.0,-11.66,17.49,9.0,-6.2 to 12.95
2554,"'FUSEX', 'IEI', 'VUSTX', 'INIVX', 'DBC'",24.0,750.0,-10.11,17.1,9.0,-6.38 to 12.56
853,"'VIGRX', 'IEF', 'WHOSX', 'USERX', 'DBC'",24.0,750.0,-9.73,16.76,9.0,-6.89 to 12.61
3232,"'SWPPX', 'IEI', 'WHOSX', 'OPGSX', 'GSP'",18.0,900.0,-10.24,16.98,9.0,-5.97 to 12.47
3319,"'VFINX', 'IEF', 'WHOSX', 'SGGDX', 'DBC'",4.0,950.0,-10.39,17.39,9.0,-6.24 to 11.37
4839,"'VIGRX', 'IEI', 'PRULX', 'USERX', 'DBC'",41.0,100.0,-10.46,17.2,8.99,-3.79 to 12.55
472,"'PREIX', 'IEF', 'VUSTX', 'SGGDX', 'GSG'",21.0,150.0,-10.59,16.72,8.99,-5.75 to 11.66
1805,"'PREIX', 'IEI', 'WHOSX', 'OPGSX', 'GSP'",9.0,200.0,-10.62,16.92,8.99,-6.43 to 12.03
962,"'VIGRX', 'IPE', 'PRULX', 'USERX', 'GSP'",3.0,250.0,-15.24,21.16,8.99,-6.06 to 14.3
1957,"'SWPPX', 'IEF', 'PRULX', 'INIVX', 'GSP'",9.0,250.0,-11.25,17.15,8.99,-5.98 to 12.38
4497,"'VFINX', 'IPE', 'WHOSX', 'INIVX', 'DBC'",8.0,300.0,-13.61,19.97,8.99,-7.03 to 13.78
1173,"'VIGRX', 'BIV', 'WHOSX', 'INIVX', 'DJP'",21.0,350.0,-12.82,20.34,8.99,-6.85 to 14.5
1497,"'FUSEX', 'IEF', 'VUSTX', 'USERX', 'DBC'",28.0,450.0,-10.54,17.28,8.99,-5.49 to 12.27
2556,"'VIGRX', 'IGIB', 'VUSTX', 'OPGSX', 'DJP'",43.0,600.0,-14.3,21.57,8.99,-5.46 to 13.58
1644,"'VIGRX', 'IPE', 'VUSTX', 'INIVX', 'GSP'",9.0,600.0,-14.22,21.72,8.99,-6.3 to 14.94
3216,"'VIGRX', 'IGIB', 'VUSTX', 'USERX', 'DBC'",47.0,650.0,-12.54,20.25,8.99,-3.91 to 14.03
3483,"'VIGRX', 'IPE', 'VUSTX', 'USERX', 'DBC'",25.0,700.0,-13.83,21.01,8.99,-6.17 to 14.63
1331,"'VIGRX', 'IEI', 'PRULX', 'VGPMX', 'GSP'",16.0,750.0,-12.47,18.9,8.99,-5.25 to 13.95
2496,"'VIGRX', 'IEF', 'VUSTX', 'OPGSX', 'DJP'",10.0,750.0,-12.01,19.52,8.99,-5.98 to 13.6
874,"'VIGRX', 'ITE', 'VUSTX', 'SGGDX', 'GSP'",21.0,750.0,-10.77,17.71,8.99,-5.51 to 12.65
2881,"'VFINX', 'IEF', 'WHOSX', 'SGGDX', 'GSP'",18.0,800.0,-9.89,16.83,8.99,-5.96 to 11.19
83,"'VIGRX', 'ITE', 'PRULX', 'SGGDX', 'DBC'",34.0,900.0,-10.32,17.13,8.99,-4.07 to 11.8
1640,"'VIGRX', 'TIP', 'VUSTX', 'USERX', 'GSP'",51.0,100.0,-14.18,19.79,8.98,-5.1 to 13.9
1559,"'VIGRX', 'IGIB', 'WHOSX', 'INIVX', 'GSP'",46.0,150.0,-13.24,20.21,8.98,-6.0 to 12.31
